seq,query_id,status,start_s,end_s,rel_start_s,rel_end_s,latency_s
318,3223945,completed,1783538383.441,1783538384.812,1025.191,1026.562,1.371
319,4226809,completed,1783538384.176,1783538385.272,1025.926,1027.022,1.096
320,2925823,completed,1783538385.551,1783538386.994,1027.300,1028.743,1.443
321,3995973,completed,1783538387.832,1783538391.465,1029.582,1033.215,3.633
322,2841352,completed,1783538389.947,1783538392.070,1031.697,1033.820,2.123
323,3296055,completed,1783538392.456,1783538395.465,1034.206,1037.215,3.009
324,2855248,completed,1783538393.518,1783538396.341,1035.268,1038.091,2.823
325,4110087,completed,1783538394.463,1783538396.700,1036.213,1038.450,2.237
326,2790227,completed,1783538395.660,1783538397.711,1037.410,1039.461,2.051
327,3032255,completed,1783538397.805,1783538399.999,1039.555,1041.749,2.194
328,4202768,completed,1783538398.922,1783538400.130,1040.672,1041.880,1.208
329,3802605,completed,1783538401.298,1783538404.341,1043.048,1046.091,3.043
330,2873291,completed,1783538402.332,1783538405.248,1044.082,1046.998,2.916
331,2974216,completed,1783538404.081,1783538405.355,1045.831,1047.105,1.274
332,3134186,completed,1783538406.057,1783538407.250,1047.807,1049.000,1.193
333,4329401,completed,1783538406.599,1783538407.977,1048.349,1049.727,1.378
334,3962992,completed,1783538407.572,1783538408.735,1049.321,1050.484,1.163
335,4502582,completed,1783538409.476,1783538410.699,1051.226,1052.449,1.223
336,3461248,completed,1783538410.667,1783538412.219,1052.417,1053.969,1.552
337,2873340,completed,1783538411.957,1783538413.995,1053.707,1055.745,2.038
338,3758797,completed,1783538413.788,1783538415.912,1055.538,1057.662,2.124
339,3534494,completed,1783538416.425,1783538417.704,1058.175,1059.454,1.279
340,4109424,completed,1783538417.361,1783538418.516,1059.110,1060.265,1.155
341,3555457,completed,1783538418.517,1783538419.654,1060.267,1061.404,1.137
342,4353754,completed,1783538419.072,1783538420.144,1060.822,1061.894,1.072
343,4198189,completed,1783538419.822,1783538420.924,1061.572,1062.674,1.102
344,3637299,completed,1783538420.951,1783538422.994,1062.700,1064.743,2.043
345,3392855,completed,1783538421.729,1783538422.881,1063.478,1064.630,1.152
346,3904488,completed,1783538422.270,1783538423.428,1064.020,1065.178,1.158
